дата;t_avg;t_min;t_max
23.11.2020;11,5;6;16
24.11.2020;7;5;9
25.11.2020;None;None;None
26.11.2020;14,9;13;18
27.11.2020;13,3;11;16
28.11.2020;None;None;None
29.11.2020;9,1;5;12
30.11.2020;14,8;10;17
01.12.2020;10,3;3;15
02.12.2020;4,2;2;6
03.12.2020;6;2;9
04.12.2020;8,4;7;11
05.12.2020;6,3;4;8
06.12.2020;2,6;1;4
07.12.2020;1,6;0;4
08.12.2020;0,2;-1;2
09.12.2020;1,4;0;3
10.12.2020;5,8;2;9
11.12.2020;9,2;4;13
12.12.2020;10,9;8;14
13.12.2020;12,1;8;16
14.12.2020;3,8;2;7
15.12.2020;1,4;-1;4
16.12.2020;-2,4;-4;-1
17.12.2020;-2,5;-4;0
18.12.2020;-2,7;-4;0
19.12.2020;-2,8;-7;0
20.12.2020;2,4;-1;4
21.12.2020;4,9;3;7
22.12.2020;5,2;3;7
23.12.2020;4,7;3;7
24.12.2020;12,9;7;15
25.12.2020;10,7;-1;16
26.12.2020;-2,4;-4;0
27.12.2020;-0,3;-4;3
28.12.2020;6,6;2;10
29.12.2020;2,3;-1;6
30.12.2020;2,4;-2;6
31.12.2020;6,4;2;9
01.01.2021;2,7;1;4
02.01.2021;4,7;2;11
03.01.2021;2,4;2;3
04.01.2021;3,3;2;6
05.01.2021;3,6;2;5
06.01.2021;2,7;1;4
07.01.2021;1,5;-1;5
08.01.2021;-0,1;-2;3
09.01.2021;-0,4;-4;2
10.01.2021;1,1;-2;5
11.01.2021;0,3;-2;3
12.01.2021;3,2;1;7
13.01.2021;4,1;2;6
14.01.2021;6,2;4;9
15.01.2021;5,2;3;8
16.01.2021;6;3;8
17.01.2021;4,5;2;7
18.01.2021;4,8;3;7
19.01.2021;3,1;2;6
20.01.2021;1,3;-3;4
21.01.2021;1,5;-3;6
22.01.2021;4,7;2;7
23.01.2021;-1,6;-4;2
24.01.2021;-2,9;-6;0
25.01.2021;-0,9;-5;3
26.01.2021;0,7;-1;1
27.01.2021;1,3;-1;3
28.01.2021;-2,5;-7;1
29.01.2021;-6,7;-9;-4
30.01.2021;-4,6;-8;0
31.01.2021;-5,1;-7;-3
01.02.2021;-1;-6;1
02.02.2021;-0,1;-1;1
03.02.2021;-0,5;-2;3
04.02.2021;2,5;-1;6
05.02.2021;5,4;3;8
06.02.2021;3,9;1;7
07.02.2021;0,5;-4;4
08.02.2021;-4,7;-8;-2
09.02.2021;-0,8;-3;1
10.02.2021;-1,1;-3;2
11.02.2021;-2,2;-3;0
12.02.2021;-3,5;-7;-1
13.02.2021;-2,3;-4;-1
14.02.2021;0;-3;3
15.02.2021;0,5;-1;2
16.02.2021;4,6;1;11
17.02.2021;-2;-6;1
18.02.2021;-2,7;-4;-1
19.02.2021;-0,8;-2;1
20.02.2021;-0,6;-3;1
21.02.2021;-0,8;-4;2
22.02.2021;1,9;0;4
23.02.2021;4,6;2;7
24.02.2021;8,1;4;12
25.02.2021;7;4;10
26.02.2021;4,2;1;7
27.02.2021;7,1;3;10
28.02.2021;6,3;6;7
01.03.2021;5,6;0;9
02.03.2021;-2,2;-6;0
03.03.2021;None;None;None
