;дата;t_avg;t_min;t_max;Month
0;2020-11-23;11,5;6.0;16.0;11
1;2020-11-24;7;5.0;9.0;11
2;2020-11-25;;;;11
3;2020-11-26;14,9;13.0;18.0;11
4;2020-11-27;13,3;11.0;16.0;11
5;2020-11-28;;;;11
6;2020-11-29;9,1;5.0;12.0;11
7;2020-11-30;14,8;10.0;17.0;11
8;2020-12-01;10,3;3.0;15.0;12
9;2020-12-02;4,2;2.0;6.0;12
10;2020-12-03;6;2.0;9.0;12
11;2020-12-04;8,4;7.0;11.0;12
12;2020-12-05;6,3;4.0;8.0;12
13;2020-12-06;2,6;1.0;4.0;12
14;2020-12-07;1,6;0.0;4.0;12
15;2020-12-08;0,2;-1.0;2.0;12
16;2020-12-09;1,4;0.0;3.0;12
17;2020-12-10;5,8;2.0;9.0;12
18;2020-12-11;9,2;4.0;13.0;12
19;2020-12-12;10,9;8.0;14.0;12
20;2020-12-13;12,1;8.0;16.0;12
21;2020-12-14;3,8;2.0;7.0;12
22;2020-12-15;1,4;-1.0;4.0;12
23;2020-12-16;-2,4;-4.0;-1.0;12
24;2020-12-17;-2,5;-4.0;0.0;12
25;2020-12-18;-2,7;-4.0;0.0;12
26;2020-12-19;-2,8;-7.0;0.0;12
27;2020-12-20;2,4;-1.0;4.0;12
28;2020-12-21;4,9;3.0;7.0;12
29;2020-12-22;5,2;3.0;7.0;12
30;2020-12-23;4,7;3.0;7.0;12
31;2020-12-24;12,9;7.0;15.0;12
32;2020-12-25;10,7;-1.0;16.0;12
33;2020-12-26;-2,4;-4.0;0.0;12
34;2020-12-27;-0,3;-4.0;3.0;12
35;2020-12-28;6,6;2.0;10.0;12
36;2020-12-29;2,3;-1.0;6.0;12
37;2020-12-30;2,4;-2.0;6.0;12
38;2020-12-31;6,4;2.0;9.0;12
39;2021-01-01;2,7;1.0;4.0;1
40;2021-01-02;4,7;2.0;11.0;1
41;2021-01-03;2,4;2.0;3.0;1
42;2021-01-04;3,3;2.0;6.0;1
43;2021-01-05;3,6;2.0;5.0;1
44;2021-01-06;2,7;1.0;4.0;1
45;2021-01-07;1,5;-1.0;5.0;1
46;2021-01-08;-0,1;-2.0;3.0;1
47;2021-01-09;-0,4;-4.0;2.0;1
48;2021-01-10;1,1;-2.0;5.0;1
49;2021-01-11;0,3;-2.0;3.0;1
50;2021-01-12;3,2;1.0;7.0;1
51;2021-01-13;4,1;2.0;6.0;1
52;2021-01-14;6,2;4.0;9.0;1
53;2021-01-15;5,2;3.0;8.0;1
54;2021-01-16;6;3.0;8.0;1
55;2021-01-17;4,5;2.0;7.0;1
56;2021-01-18;4,8;3.0;7.0;1
57;2021-01-19;3,1;2.0;6.0;1
58;2021-01-20;1,3;-3.0;4.0;1
59;2021-01-21;1,5;-3.0;6.0;1
60;2021-01-22;4,7;2.0;7.0;1
61;2021-01-23;-1,6;-4.0;2.0;1
62;2021-01-24;-2,9;-6.0;0.0;1
63;2021-01-25;-0,9;-5.0;3.0;1
64;2021-01-26;0,7;-1.0;1.0;1
65;2021-01-27;1,3;-1.0;3.0;1
66;2021-01-28;-2,5;-7.0;1.0;1
67;2021-01-29;-6,7;-9.0;-4.0;1
68;2021-01-30;-4,6;-8.0;0.0;1
69;2021-01-31;-5,1;-7.0;-3.0;1
70;2021-02-01;-1;-6.0;1.0;2
71;2021-02-02;-0,1;-1.0;1.0;2
72;2021-02-03;-0,5;-2.0;3.0;2
73;2021-02-04;2,5;-1.0;6.0;2
74;2021-02-05;5,4;3.0;8.0;2
75;2021-02-06;3,9;1.0;7.0;2
76;2021-02-07;0,5;-4.0;4.0;2
77;2021-02-08;-4,7;-8.0;-2.0;2
78;2021-02-09;-0,8;-3.0;1.0;2
79;2021-02-10;-1,1;-3.0;2.0;2
80;2021-02-11;-2,2;-3.0;0.0;2
81;2021-02-12;-3,5;-7.0;-1.0;2
82;2021-02-13;-2,3;-4.0;-1.0;2
83;2021-02-14;0;-3.0;3.0;2
84;2021-02-15;0,5;-1.0;2.0;2
85;2021-02-16;4,6;1.0;11.0;2
86;2021-02-17;-2;-6.0;1.0;2
87;2021-02-18;-2,7;-4.0;-1.0;2
88;2021-02-19;-0,8;-2.0;1.0;2
89;2021-02-20;-0,6;-3.0;1.0;2
90;2021-02-21;-0,8;-4.0;2.0;2
91;2021-02-22;1,9;0.0;4.0;2
92;2021-02-23;4,6;2.0;7.0;2
93;2021-02-24;8,1;4.0;12.0;2
94;2021-02-25;7;4.0;10.0;2
95;2021-02-26;4,2;1.0;7.0;2
96;2021-02-27;7,1;3.0;10.0;2
97;2021-02-28;6,3;6.0;7.0;2
98;2021-03-01;5,6;0.0;9.0;3
99;2021-03-02;-2,2;-6.0;0.0;3
100;2021-03-03;;;;3
